Title,Total Earnings,Foriegn Earnings,Year,IMDB
I Know What You Did Last Summer,"$125,600,000 ","$72,600,000 ",1997,5.7
Donnie Brasco,"$124,900,000 ","$41,900,000 ",1997,7.7
The Empire Strikes Back (Special Edition),"$124,800,000 ","$67,600,000 ",1997,7.7
Volcano,"$122,800,000 ","$49,300,000 ",1997,5.5
Mouse Hunt,"$122,400,000 ","$61,900,000 ",1997,5.5
Starship Troopers,"$121,200,000 ","$54,800,000 ",1997,7.2
The Saint,"$118,100,000 ","$61,400,000 ",1997,6.2
The Peacemaker,"$110,500,000 ","$41,300,000 ",1997,5.9
The Game,"$109,400,000 ","$48,300,000 ",1997,7.8
Return of the Jedi (Special Edition),"$89,300,000 ","$45,500,000 ",1997,7.8
Spawn,"$87,800,000 ","$54,900,000 ",1997,5.3
Home Alone 3,"$79,100,000 ","$30,900,000 ",1997,4.4
Austin Powers: International Man of Mystery,"$67,700,000 ","$53,900,000 ",1997,7
Wag the Dog,"$64,300,000 ","$43,100,000 ",1997,7.2
Mortal Kombat: Annihilation,"$51,400,000 ","$35,900,000 ",1997,3.7
Money Talks,"$48,400,000 ","$40,900,000 ",1997,6.2
Picture Perfect,"$44,300,000 ","$31,400,000 ",1997,5.5
The Edge,"$43,300,000 ","$27,900,000 ",1997,6.9
Boogie Nights,"$43,100,000 ","$26,400,000 ",1997,7.9
The Eighth Day,"$33,000,000 ","$416,000 ",1997,7.9
For Richer or Poorer,"$32,700,000 ","$31,600,000 ",1997,5.8
Out to Sea,"$30,700,000 ","$29,000,000 ",1997,6.1
Romy & Michele's High School Reunion,"$29,200,000 ","$29,200,000 ",1997,6.1
The Little Mermaid (Re-issue),"$27,200,000 ","$27,200,000 ",1997,6.1
Jackie Chan's First Strike,"$21,900,000 ","$15,300,000 ",1997,6.1
The Boxer,"$16,500,000 ","$6,000,000 ",1997,7
Trial and Error,"$14,600,000 ","$13,600,000 ",1997,5.8
Love Jones,"$12,800,000 ","$12,500,000 ",1997,7.5
Most Wanted,"$11,800,000 ","$6,400,000 ",1997,5.6
Turbo: A Power Rangers Movie,"$9,600,000 ","$8,400,000 ",1997,3.6
Shall We Dance?,"$9,500,000 ","$9,500,000 ",1997,3.6
B.A.P.S.,"$7,300,000 ","$7,200,000 ",1997,3.6
Warriors of Virtue,"$6,500,000 ","$6,500,000 ",1997,4.7
Dangerous Ground,"$5,400,000 ","$5,300,000 ",1997,4.5
Kiss or Kill,"$797,000 ","$797,000 ",1997,6.2
Prisoner of the Mountains,"$790,000 ","$790,000 ",1997,6.2
Irma Vep,"$282,000 ","$282,000 ",1997,6.2
"Truth or Consequences, N.M.","$122,000 ","$109,000 ",1997,6.3
Armageddon,"$553,700,000 ","$201,600,000 ",1998,6.7
Saving Private Ryan,"$481,800,000 ","$216,500,000 ",1998,8.6
Godzilla,"$379,000,000 ","$136,300,000 ",1998,5.4
There's Something About Mary,"$369,900,000 ","$176,500,000 ",1998,7.1
A Bug's Life,"$363,300,000 ","$162,800,000 ",1998,7.2
Deep Impact,"$349,500,000 ","$140,500,000 ",1998,6.2
Mulan,"$304,300,000 ","$120,600,000 ",1998,7.6
